Column,Code,Class,Label,Comment,Note
ADMISSION_LOCATION,EMERGENCY ROOM ADMIT,,Emergency Room Admittance ,,
ADMISSION_LOCATION,TRANSFER FROM HOSP/EXTRAM,,Transfer from Hospital,,
ADMISSION_LOCATION,TRANSFER FROM OTHER HEALT,,Transfer from other Health Care Facility,,
ADMISSION_LOCATION,CLINIC REFERRAL/PREMATURE,,Clinical Referral/Premature,,
ADMISSION_LOCATION,** INFO NOT AVAILABLE **,,Information Not Available,,
ADMISSION_LOCATION,TRANSFER FROM SKILLED NUR,,Transfer from Skilled Nurse Facility,,
ADMISSION_LOCATION,TRSF WITHIN THIS FACILITY,,Transfer within this Facility,,
ADMISSION_LOCATION,HMO REFERRAL/SICK,,Health Maintenance Organization Referral,,
ADMISSION_LOCATION,PHYS REFERRAL/NORMAL DELI,,Physical Referral,,
ADMISSION_TYPE,ELECTIVE,,Elective,,
ADMISSION_TYPE,URGENT,,Urgent,,
ADMISSION_TYPE,NEWBORN,,Newborn,,
ADMISSION_TYPE,EMERGENCY,,Emergency,,
DISCHARGE_LOCATION,DISC-TRAN CANCER/CHLDRN H,,Transfered to Cancer/Children Hospital,,
DISCHARGE_LOCATION,HOME HEALTH CARE,,Home Health Care,,
DISCHARGE_LOCATION,HOME,,Home,,
DISCHARGE_LOCATION,DEAD/EXPIRED,,Dead/Expired,,
DISCHARGE_LOCATION,REHAB/DISTINCT PART HOSP,,Rehab/Distinct Part of Hospital,,
DISCHARGE_LOCATION,LONG TERM CARE HOSPITAL,,Long Term Care Hospital,,
DISCHARGE_LOCATION,DISC-TRAN TO FEDERAL HC,,Transfered to Federal Health Care,,
DISCHARGE_LOCATION,SNF,,Skilled Nursing Facility,,
DISCHARGE_LOCATION,SHORT TERM HOSPITAL,,Short Term Hospital,,
DISCHARGE_LOCATION,HOSPICE-MEDICAL FACILITY,,Hospice-Medical Facility,,
DISCHARGE_LOCATION,HOME WITH HOME IV PROVIDR,,Home with Home IV Provider,,
DISCHARGE_LOCATION,HOSPICE-HOME,,Hospice-Home,,
DISCHARGE_LOCATION,LEFT AGAINST MEDICAL ADVI,,Left Against Medical Advice,,
DISCHARGE_LOCATION,DISCH-TRAN TO PSYCH HOSP,,Transfered to Physical Hospital,,
DISCHARGE_LOCATION,OTHER FACILITY,,Other Facility,,
DISCHARGE_LOCATION,ICF,,Intermediate Care Facility,,
DISCHARGE_LOCATION,SNF-MEDICAID ONLY CERTIF,,Skilled Nursing Facility - Medicaid Only Certified,,
INSURANCE,Medicare,,Medicare,,
INSURANCE,Medicaid,,Medicaid,,
INSURANCE,Self Pay,,Self Pay,,
INSURANCE,Government,,Government,,
LANGUAGE,* BE,,,,
LANGUAGE,* FU,,,,
LANGUAGE,** T,,,,
LANGUAGE,**SH,,,,
LANGUAGE,**TO,,,,
LANGUAGE,*AMH,,,,
LANGUAGE,*ARA,,,,
LANGUAGE,*ARM,,,,
LANGUAGE,*BEN,,,,
LANGUAGE,*BOS,,,,
LANGUAGE,*BUL,,,,
LANGUAGE,*BUR,,,,
LANGUAGE,*CAN,,,,
LANGUAGE,*CDI,,,,
LANGUAGE,*CHI,,,,
