Column,Label,Comment,Attribute,attributeOf,Unit,Format,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,Template
ID,ID,Primary Key. Unique Identifier of the patient.,sio:Identifier,??patient,,UUID,,,,,,,,PATIENT/{ID}
BIRTHDATE,Birth Date,The date the patient was born.,ncit:C68615,??patient,,YYYY-MM-DD,,,,,,,,
DEATHDATE,Death Date,The date the patient died.,ncit:C70810,??patient,,YYYY-MM-DD,,,,,,,,
SSN,Social Security Number,Patient Social Security identifier.,ncit:C25686,??patient,,String,,,,,,,,
DRIVERS,Driver's License Number,Patient Drivers License identifier.,ncit:C122899,??patient,,String,,,,,,,,
PASSPORT,Passport Number,Patient Passport identifier.,heals:Passport,??patient,,String,,,,,,,,
PREFIX,Prefix,"Name prefix, such as Mr., Mrs., Dr., etc.",ncit:C54066,??patient,,String,,,,,,,,
FIRST,First Name,First name of the patient.,sio:FirstName,??patient,,String,,,,,,,,
LAST,Last Name,Last or surname of the patient.,sio:LastName,??patient,,String,,,,,,,,
SUFFIX,Suffix,"Name suffix, such as PhD, MD, JD, etc.",ncit:C49106,??patient,,String,,,,,,,,
MAIDEN,Maiden Name,Maiden name of the patient.,ncit:C25381,??patient,,String,,,,,,,,
MARITAL,Marital Status,"Marital Status. M is married, S is single. Currently no support for divorce (D) or widowing (W)",chear:MaritalStatus,??patient,,String,,,,,,,,
RACE,Race,Description of the patient's primary race.,sio:Race,??patient,,String,,,,,,,,
ETHNICITY,Ethnicity,Description of the patient's primary ethnicity.,sio:Ethnicity,??patient,,String,,,,,,,,
GENDER,Gender,"Gender. M is male, F is female.",sio:BiologicalSex,??patient,,String,,,,,,,,
BIRTHPLACE,Birth Place,Name of the town where the patient was born.,ncit:C25341,??patient,,String,chear:Birth,,,,,,,
ADDRESS,Address,Patient's street address without commas or newlines.,,,,String,,sio:Address,,,??patient,,,
CITY,City,Patient's address city.,,,,String,,sio:City,,sio:isPartOf,{ADDRESS},,,
STATE,State,Patient's address state.,,,,String,,sio:State,,sio:isPartOf,{ADDRESS},,,
ZIP,Zip Code,Patient's zip code.,,,,String,,ncit:C25720,,sio:isPartOf,{ADDRESS},,,
??patient,Patient,,,,,,,"sio:Human, sio:Patient",sio:PatientRole,,,,,
