Column,Label,Comment,Attribute,attributeOf,Unit,Format,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,Template
DATE,Date,The date the observation was performed.,ncit:C25164,??observation,,YYYY-MM-DD,,,,,,,,
PATIENT,Patient Identifier,Foreign key to the Patient.,sio:Identifier,??patient,,UUID,,,,,,,,PATIENT/{PATIENT}
ENCOUNTER,Encounter Identifier,Foreign key to the Encounter where the observation was performed.,sio:Identifier,??encounter,,UUID,,,,,??observation,,,ENCOUNTER/{ENCOUNTER}
CODE,Code,Observation or Lab code from LOINC,ncit:C25162,??loinc,,String,,,,,??observation,,,LOINC/{CODE}
DESCRIPTION,Description,Description of the observation or lab.,sio:Description,??observation,,String,,,,,,,,
VALUE,Value,The recorded value of the observation.,ncit:C25712,??observation,,String,,,,,,,,
UNITS,Units,The units of measure for the value.,sio:UnitOfMeasurement,VALUE,,String,,,,,,,,
TYPE,Type,The datatype of Value: text or numeric,ncit:C42645,VALUE,,String,,,,,,,,
??observation,Clinical Observation,,,,,,,ncit:C116555,,,??patient,,,
??patient,Patient,,,,,,,"sio:Human, sio:Patient",sio:PatientRole,,,,,
??encounter,Encounter,,,,,,,ncit:C62143,,,,,,
??loinc,LOINC,,,,,,,ncit:C49476,,,,,,
