Column,Attribute,attributeOf,Unit,Format,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition,Label,Comment
ROW_ID,sio:Identifier,??row,,,,,,,,,,1,Row ID,Row ID
SUBJECT_ID,sio:Identifier,??subject,,,,,,,,,,2,Subject ID,Subject ID
HADM_ID,sio:Identifier,??admission,,,,,,,??hospital,,,3,Hospital Admission ID,Hospital Admission ID
ICUSTAY_ID,sio:Identifier,??icustay,,,,,,,,,,4,ICU Stay ID,
STARTTIME,sio:TimeInstant,??start,,YYYY-MM-Ddhh:mm:ss^^xsd:dateTime,,,,,,,,5,Start Time,
ENDTIME,sio:TimeInstant,??end,,YYYY-MM-Ddhh:mm:ss^^xsd:dateTime,,,,,,,,6,End Time,
ITEMID,sio:Identifier,??item,,,,,,,,,,7,Item ID,
AMOUNT,,,,,,,,,,,,8,Amount,
AMOUNTUOM,,,,,,,,,,,,9,Amount UOM,
RATE,,,,,,,,,,,,10,Rate,
RATEUOM,,,,,,,,,,,,11,Rate UOM,
STORETIME,,,,,,,,,,,,12,Store Time,
CGID,sio:Identifier,??cg,,,,,,,,,,13,CGID,Care Giver ID
ORDERID,,,,,,,,,,,,14,Order ID,
LINKORDERID,,,,,,,,,,,,15,Linkorder ID,
ORDERCATEGORYNAME,,,,,,,,,,,,,,
SECONDARYORDERCATEGORYNAME,,,,,,,,,,,,,,
ORDERCOMPONENTTYPEDESCRIPTION,,,,,,,,,,,,,,
ORDERCATEGORYDESCRIPTION,,,,,,,,,,,,,,
PATIENTWEIGHT,,,,,,,,,,,,,,
TOTALAMOUNT,,,,,,,,,,,,,,
TOTALAMOUNTUOM,,,,,,,,,,,,,,
ISOPENBAG,,,,,,,,,,,,,,
CONTINUEINNEXTDEPT,,,,,,,,,,,,,,
CANCELREASON,,,,,,,,,,,,,,
STATUSDESCRIPTION,,,,,,,,,,,,,,
COMMENTS_EDITEDBY,,,,,,,,,,,,,,
COMMENTS_CANCELEDBY,,,,,,,,,,,,,,
COMMENTS_DATE,,,,,,,,,,,,,,
ORIGINALAMOUNT,,,,,,,,,,,,,,
ORIGINALRATE,,,,,,,,,,,,,,
??hospital,,,,,,"ncit:C16696, envo:00002173, obi:0000844",,,,,,,Hospital,
??subject,,,,,,sio:Human,sio:SubjectRole,,,,,,Subject,
??row,,,,,,sio:Row,,,,,,,Row,
??icustay,,,,,,,,,,,,,ICU Stay,
??start,,,,,,,,,,,,,Start,
??end,,,,,,,,,,,,,End,
??item,,,,,,,,,,,,,Item,
??cg,,,,,,sio:MedicalPractitioner,,,,,,,Care Giver,
??admission,,,,,,,,,,,,,,
