Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition,Label,Comment
ROW_ID,sio:Identifier,??row,,,,,,,,,1,Row ID,Row ID
SUBJECT_ID,sio:Identifier,??subject,,,,,,,,,2,Subject ID,Subject ID
HADM_ID,sio:Identifier,??admission,,,,,,??hospital,,,3,Hospital Admission ID,Hospital Admission ID
DRG_TYPE,mi:2040,??drug,,,,,,,,,4,Drug Type,Drug Type
DRG_CODE,ncit:C25712,??drug,,,,,,,,,5,Drug Code,Code associated with a drug
DESCRIPTION,sio:Description,??row,,,,,,,,,6,Description,Description of the DRG Code
DRG_SEVERITY,hp:0012824,??drug,,,,,,,,,7,Drug Severity,Provides additional granularity to DRG codes
DRG_MORTALITY,efo:0004352,??drug,,,,,,,,,8,Drug Morality,Provides additional granularity to DRG codes
??subject,,,,,sio:Human,sio:SubjectRole,,,,,,Subject,
??drug,,,,,chebi:23888,,,,,,,Drug,
??hospital,,,,,"ncit:C16696, envo:00002173, obi:0000844",,,,,,,Hospital,
??admission,,,,,ncit:C25385,,,??hospital,,,,Admission,
??row,,,,,sio:Row,,,,,,,Row,
