Column,Attribute,attributeOf,Unit,Format,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition,Label,Comment
ROW_ID,sio:Identifier,??row,,,,,,,,,,1,Row ID,Row ID
SUBJECT_ID,sio:Identifier,??subject,,,,,,,,,,2,Subject ID,Subject ID
HADM_ID,sio:Identifier,??admission,,,,,,,??hospital,,,3,Hospital Admission ID,Hospital Admission ID
CHARTDATE,sio:TimeInstant,??chartdate,,YYYY-MM-Ddhh:mm:ss^^xsd:dateTime,,,,,,,,4,Chart Date,
CHARTTIME,sio:TimeInstant,??chartevent,,YYYY-MM-Ddhh:mm:ss^^xsd:dateTime,,,,,,,,5,Chart Time,
SPEC_ITEMID,sio:Identifier,,,,,,,,,,,6,,
SPEC_TYPE_DESC,,,,,,,,,,,,7,,
ORG_ITEMID,sio:Identifier,,,,,,,,,,,8,,
ORG_NAME,,,,,,,,,,,,9,,
ISOLATE_NUM,sio:Number,??isolate,,,,,,,,,,10,,
AB_ITEMID,sio:Identifier,,,,,,,,,,,11,,
AB_NAME,,,,,,,,,,,,12,,
DILUTION_TEXT,,,,,,,,,,,,13,,
DILUTION_COMPARISON,,,,,,,,,,,,14,,
DILUTION_VALUE,,,,,,,,,,,,15,,
INTERPRETATION,ncit:C41255,,,,,,,,,,,16,,
??hospital,,,,,,"ncit:C16696, envo:00002173, obi:0000844",,,,,,,Hospital,
??subject,,,,,,sio:Human,sio:SubjectRole,,,,,,Subject,
??row,,,,,,sio:Row,,,,,,,Row,
??admission,,,,,,ncit:C25385,,,,,,,Admission,
??chartdate,,,,,,,,,,,,,,
??chartevent,,,,,,,,,,,,,,
??isolate,,,,,,,,,,,,,,
