code,uri,label
 17-BETA HYDROXYSTEROID DEHYDROGENASE III DEFICIENCY ,OMIM:608118, 17-BETA HYDROXYSTEROID DEHYDROGENASE III DEFICIENCY 
 17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY ,OMIM:608118, 17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY 
" 2,4-DIENOYL-COA REDUCTASE DEFICIENCY ",OMIM:608118," 2,4-DIENOYL-COA REDUCTASE DEFICIENCY "
 2-AMINOADIPIC 2-OXOADIPIC ACIDURIA ,OMIM:608118, 2-AMINOADIPIC 2-OXOADIPIC ACIDURIA 
 2-METHYLBUTYRYL-COA DEHYDROGENASE DEFICIENCY ,OMIM:608118, 2-METHYLBUTYRYL-COA DEHYDROGENASE DEFICIENCY 
 3-HYDROXY-3-METHYLGLUTARYL-COA LYASE DEFICIENCY ,OMIM:608118, 3-HYDROXY-3-METHYLGLUTARYL-COA LYASE DEFICIENCY 
 3-HYDROXY-3-METHYLGLUTARYL-COA SYNTHASE-2 DEFICIENCY ,OMIM:608118, 3-HYDROXY-3-METHYLGLUTARYL-COA SYNTHASE-2 DEFICIENCY 
 3-HYDROXYACYL-COA DEHYDROGENASE DEFICIENCY ,OMIM:608118, 3-HYDROXYACYL-COA DEHYDROGENASE DEFICIENCY 
 3-HYDROXYISOBUTYRYL-COA HYDROLASE DEFICIENCY ,OMIM:608118, 3-HYDROXYISOBUTYRYL-COA HYDROLASE DEFICIENCY 
 3-METHYLGLUTACONIC ACIDURIA ,OMIM:608118, 3-METHYLGLUTACONIC ACIDURIA 
 3MC SYNDROME ,OMIM:608118, 3MC SYNDROME 
" 46,XX SEX REVERSAL 1 ",OMIM:608118," 46,XX SEX REVERSAL 1 "
" 46,XX SEX REVERSAL 2 ",OMIM:608118," 46,XX SEX REVERSAL 2 "
" 46,XX SEX REVERSAL WITH DYSGENESIS OF KIDNEYS, ADRENALS, AND LUNGS ",OMIM:608118," 46,XX SEX REVERSAL WITH DYSGENESIS OF KIDNEYS, ADRENALS, AND LUNGS "
" 46,XY GONADAL DYSGENESIS, PARTIAL, WITH MINIFASCICULAR NEUROPATHY ",OMIM:608118," 46,XY GONADAL DYSGENESIS, PARTIAL, WITH MINIFASCICULAR NEUROPATHY "
" 46,XY SEX REVERSAL ",OMIM:608118," 46,XY SEX REVERSAL "
 5-OXOPROLINASE DEFICIENCY ,OMIM:608118, 5-OXOPROLINASE DEFICIENCY 
 ABCD SYNDROME ,OMIM:608118, ABCD SYNDROME 
 ABDOMINAL OBESITY-METABOLIC SYNDROME ,OMIM:608118, ABDOMINAL OBESITY-METABOLIC SYNDROME 
 ABETALIPOPROTEINEMIA ,OMIM:608118, ABETALIPOPROTEINEMIA 
 ABLEPHARON-MACROSTOMIA SYNDROME ,OMIM:608118, ABLEPHARON-MACROSTOMIA SYNDROME 
 ABRUZZO-ERICKSON SYNDROME ,OMIM:608118, ABRUZZO-ERICKSON SYNDROME 
 ACATALASEMIA ,OMIM:608118, ACATALASEMIA 
" ACCELERATED TUMOR FORMATION, SUSCEPTIBILITY TO ",OMIM:608118," ACCELERATED TUMOR FORMATION, SUSCEPTIBILITY TO "
 ACERULOPLASMINEMIA ,OMIM:608118, ACERULOPLASMINEMIA 
 ACETYL-COA ACETYLTRANSFERASE-2 DEFICIENCY ,OMIM:608118, ACETYL-COA ACETYLTRANSFERASE-2 DEFICIENCY 
 ACETYL-COA CARBOXYLASE DEFICIENCY ,OMIM:608118, ACETYL-COA CARBOXYLASE DEFICIENCY 
" ACETYLATION, SLOW ",OMIM:608118," ACETYLATION, SLOW "
 ACHALASIA-ADDISONIANISM-ALACRIMA SYNDROME ,OMIM:608118, ACHALASIA-ADDISONIANISM-ALACRIMA SYNDROME 
 ACHEIROPODY ,OMIM:608118, ACHEIROPODY 
 ACHONDROGENESIS ,OMIM:608118, ACHONDROGENESIS 
 ACHONDROPLASIA ,OMIM:608118, ACHONDROPLASIA 
" ACHONDROPLASIA, SEVERE, WITH DEVELOPMENTAL DELAY AND ACANTHOSIS NIGRICANS ",OMIM:608118," ACHONDROPLASIA, SEVERE, WITH DEVELOPMENTAL DELAY AND ACANTHOSIS NIGRICANS "
 ACHROMATOPSIA 2 ,OMIM:608118, ACHROMATOPSIA 2 
 ACHROMATOPSIA 3 ,OMIM:608118, ACHROMATOPSIA 3 
 ACHROMATOPSIA 4 ,OMIM:608118, ACHROMATOPSIA 4 
 ACHROMATOPSIA 7 ,OMIM:608118, ACHROMATOPSIA 7 
 ACID PHOSPHATASE DEFICIENCY ,OMIM:608118, ACID PHOSPHATASE DEFICIENCY 
 ACID-LABILE SUBUNIT DEFICIENCY ,OMIM:608118, ACID-LABILE SUBUNIT DEFICIENCY 
 ACNE INVERSA ,OMIM:608118, ACNE INVERSA 
 ACROCAPITOFEMORAL DYSPLASIA ,OMIM:608118, ACROCAPITOFEMORAL DYSPLASIA 
" ACRODERMATITIS ENTEROPATHICA, ZINC-DEFICIENCY TYPE ",OMIM:608118," ACRODERMATITIS ENTEROPATHICA, ZINC-DEFICIENCY TYPE "
 ACRODYSOSTOSIS ,OMIM:608118, ACRODYSOSTOSIS 
" ACROFACIAL DYSOSTOSIS 1, NAGER TYPE ",OMIM:608118," ACROFACIAL DYSOSTOSIS 1, NAGER TYPE "
" ACROFACIAL DYSOSTOSIS, CINCINNATI TYPE ",OMIM:608118," ACROFACIAL DYSOSTOSIS, CINCINNATI TYPE "
 ACROKERATOSIS VERRUCIFORMIS ,OMIM:608118, ACROKERATOSIS VERRUCIFORMIS 
 ACROMELIC FRONTONASAL DYSOSTOSIS ,OMIM:608118, ACROMELIC FRONTONASAL DYSOSTOSIS 
" ACROMESOMELIC DYSPLASIA, DEMIRHAN TYPE ",OMIM:608118," ACROMESOMELIC DYSPLASIA, DEMIRHAN TYPE "
" ACROMESOMELIC DYSPLASIA, HUNTER-THOMPSON TYPE ",OMIM:608118," ACROMESOMELIC DYSPLASIA, HUNTER-THOMPSON TYPE "
" ACROMESOMELIC DYSPLASIA, MAROTEAUX TYPE ",OMIM:608118," ACROMESOMELIC DYSPLASIA, MAROTEAUX TYPE "
 ACROMICRIC DYSPLASIA ,OMIM:608118, ACROMICRIC DYSPLASIA 
" ACTH DEFICIENCY, ISOLATED ",OMIM:608118," ACTH DEFICIENCY, ISOLATED "
 ACTH-INDEPENDENT MACRONODULAR ADRENAL HYPERPLASIA ,OMIM:608118, ACTH-INDEPENDENT MACRONODULAR ADRENAL HYPERPLASIA 
 ACTH-INDEPENDENT MACRONODULAR ADRENAL HYPERPLASIA 2 ,OMIM:608118, ACTH-INDEPENDENT MACRONODULAR ADRENAL HYPERPLASIA 2 
 ACUTE PROMYELOCYTIC LEUKEMIA ,OMIM:608118, ACUTE PROMYELOCYTIC LEUKEMIA 
" ACYL-COA DEHYDROGENASE, MEDIUM-CHAIN, DEFICIENCY OF ",OMIM:608118," ACYL-COA DEHYDROGENASE, MEDIUM-CHAIN, DEFICIENCY OF "
" ACYL-COA DEHYDROGENASE, SHORT-CHAIN, DEFICIENCY OF ",OMIM:608118," ACYL-COA DEHYDROGENASE, SHORT-CHAIN, DEFICIENCY OF "
" ACYL-COA DEHYDROGENASE, VERY LONG-CHAIN, DEFICIENCY OF ",OMIM:608118," ACYL-COA DEHYDROGENASE, VERY LONG-CHAIN, DEFICIENCY OF "
