Column,Code,Class,Label
indi_pt, 17-BETA HYDROXYSTEROID DEHYDROGENASE III DEFICIENCY ,OMIM:608118, 17-BETA HYDROXYSTEROID DEHYDROGENASE III DEFICIENCY 
indi_pt, 17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY ,OMIM:608118, 17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY 
indi_pt," 2,4-DIENOYL-COA REDUCTASE DEFICIENCY ",OMIM:608118," 2,4-DIENOYL-COA REDUCTASE DEFICIENCY "
indi_pt, 2-AMINOADIPIC 2-OXOADIPIC ACIDURIA ,OMIM:608118, 2-AMINOADIPIC 2-OXOADIPIC ACIDURIA 
indi_pt, 2-METHYLBUTYRYL-COA DEHYDROGENASE DEFICIENCY ,OMIM:608118, 2-METHYLBUTYRYL-COA DEHYDROGENASE DEFICIENCY 
indi_pt, 3-HYDROXY-3-METHYLGLUTARYL-COA LYASE DEFICIENCY ,OMIM:608118, 3-HYDROXY-3-METHYLGLUTARYL-COA LYASE DEFICIENCY 
indi_pt, 3-HYDROXY-3-METHYLGLUTARYL-COA SYNTHASE-2 DEFICIENCY ,OMIM:608118, 3-HYDROXY-3-METHYLGLUTARYL-COA SYNTHASE-2 DEFICIENCY 
indi_pt, 3-HYDROXYACYL-COA DEHYDROGENASE DEFICIENCY ,OMIM:608118, 3-HYDROXYACYL-COA DEHYDROGENASE DEFICIENCY 
indi_pt, 3-HYDROXYISOBUTYRYL-COA HYDROLASE DEFICIENCY ,OMIM:608118, 3-HYDROXYISOBUTYRYL-COA HYDROLASE DEFICIENCY 
indi_pt, 3-METHYLGLUTACONIC ACIDURIA ,OMIM:608118, 3-METHYLGLUTACONIC ACIDURIA 
indi_pt, 3MC SYNDROME ,OMIM:608118, 3MC SYNDROME 
indi_pt," 46,XX SEX REVERSAL 1 ",OMIM:608118," 46,XX SEX REVERSAL 1 "
indi_pt," 46,XX SEX REVERSAL 2 ",OMIM:608118," 46,XX SEX REVERSAL 2 "
indi_pt," 46,XX SEX REVERSAL WITH DYSGENESIS OF KIDNEYS, ADRENALS, AND LUNGS ",OMIM:608118," 46,XX SEX REVERSAL WITH DYSGENESIS OF KIDNEYS, ADRENALS, AND LUNGS "
indi_pt," 46,XY GONADAL DYSGENESIS, PARTIAL, WITH MINIFASCICULAR NEUROPATHY ",OMIM:608118," 46,XY GONADAL DYSGENESIS, PARTIAL, WITH MINIFASCICULAR NEUROPATHY "
indi_pt," 46,XY SEX REVERSAL ",OMIM:608118," 46,XY SEX REVERSAL "
indi_pt, 5-OXOPROLINASE DEFICIENCY ,OMIM:608118, 5-OXOPROLINASE DEFICIENCY 
indi_pt, ABCD SYNDROME ,OMIM:608118, ABCD SYNDROME 
indi_pt, ABDOMINAL OBESITY-METABOLIC SYNDROME ,OMIM:608118, ABDOMINAL OBESITY-METABOLIC SYNDROME 
indi_pt, ABETALIPOPROTEINEMIA ,OMIM:608118, ABETALIPOPROTEINEMIA 
indi_pt, ABLEPHARON-MACROSTOMIA SYNDROME ,OMIM:608118, ABLEPHARON-MACROSTOMIA SYNDROME 
indi_pt, ABRUZZO-ERICKSON SYNDROME ,OMIM:608118, ABRUZZO-ERICKSON SYNDROME 
indi_pt, ACATALASEMIA ,OMIM:608118, ACATALASEMIA 
indi_pt," ACCELERATED TUMOR FORMATION, SUSCEPTIBILITY TO ",OMIM:608118," ACCELERATED TUMOR FORMATION, SUSCEPTIBILITY TO "
indi_pt, ACERULOPLASMINEMIA ,OMIM:608118, ACERULOPLASMINEMIA 
indi_pt, ACETYL-COA ACETYLTRANSFERASE-2 DEFICIENCY ,OMIM:608118, ACETYL-COA ACETYLTRANSFERASE-2 DEFICIENCY 
indi_pt, ACETYL-COA CARBOXYLASE DEFICIENCY ,OMIM:608118, ACETYL-COA CARBOXYLASE DEFICIENCY 
indi_pt," ACETYLATION, SLOW ",OMIM:608118," ACETYLATION, SLOW "
