Column,Attribute,attributeOf,Unit,Format,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition,Label,Comment
ROW_ID,sio:Identifier,??row,,,,,,,,,,1,Row ID,Row ID
SUBJECT_ID,sio:Identifier,??subject,,,,,,,,,,2,Subject ID,Subject ID
HADM_ID,sio:Identifier,??admission,,,,,,,??hospital,,,3,Hospital Admission ID,Hospital Admission ID
ICUSTAY_ID,sio:Identifier,??icustay,,,,,,,,,,,,
DBSOURCE,,,,,,,,,,,,,,
EVENTTYPE,,,,,,,,,,,,,,
PREV_CAREUNIT,,,,,,,,,,,,,,
CURR_CAREUNIT,,,,,,,,,,,,,,
PREV_WARDID,sio:Identifier,,,,,,,,,,,,,
CURR_WARDID,sio:Identifier,,,,,,,,,,,,,
INTIME,sio:TimeInstant,??inevent,,YYYY-MM-Ddhh:mm:ss^^xsd:dateTime,,,,,,,,,,
OUTTIME,sio:TimeInstant,??outevent,,YYYY-MM-Ddhh:mm:ss^^xsd:dateTime,,,,,,,,,,
LOS,,,,,,,,,,,,,,
??hospital,,,,,,"ncit:C16696, envo:00002173, obi:0000844",,,,,,,Hospital,
??subject,,,,,,sio:Human,sio:SubjectRole,,,,,,Subject,
??row,,,,,,sio:Row,,,,,,,Row,
??admission,,,,,,ncit:C25385,,,,,,,Admission,
??inevent,,,,,,,,,,,,,,
??outevent,,,,,,,,,,,,,,
??icustay,,,,,,,,,,,,,,
